name,time,nodeid,value
test,1551435932639873024,52739,90.195
test,1551435932647099136,52739,Received packet with sequence number 592 and timestamp 591.195
test,1551435932648439040,52739,Received packet with sequence number 593 and timestamp 592.195
test,1551435932649112064,52739,Received packet with sequence number 594 and timestamp 593.195
test,1551435932649569024,52739,Received packet with sequence number 595 and timestamp 594.195
test,1551435932650012928,52739,Received packet with sequence number 596 and timestamp 595.195
test,1551435932650423040,52739,Received packet with sequence number 597 and timestamp 596.195
test,1551435932650827776,52739,Received packet with sequence number 598 and timestamp 597.195
test,1551435932651186944,52739,Received packet with sequence number 599 and timestamp 598.195
test,1551435932651539200,52739,Received packet with sequence number 600 and timestamp 599.195
test,1551435932651943936,52739,Received packet with sequence number 601 and timestamp 600.195
test,1551435932652306944,52739,Received packet with sequence number 602 and timestamp 601.195
test,1551435932652648960,52739,Received packet with sequence number 603 and timestamp 602.195
test,1551435932653014784,52739,Received packet with sequence number 604 and timestamp 603.195
test,1551435932653414912,52739,Received packet with sequence number 605 and timestamp 604.195
test,1551435932653753088,52739,Received packet with sequence number 606 and timestamp 605.195
test,1551435932654100992,52739,Received packet with sequence number 607 and timestamp 606.195
test,1551435933171900928,52739,ReceivedReceived packet with sequence number 4 and timestamp   3.203
test,1551435934171916032,52739,Received packet with sequence number 5 and timestamp   4.203
test,1551435935171704064,52739,Received packet with sequence number 6 and timestamp   5.203
test,1551435936171614976,52739,Received packet with sequence number 7 and timestamp   6.203
test,1551435937171540992,52739,Received packet with sequence number 8 and timestamp   7.203
test,1551435938171341056,52739,Received packet with sequence number 9 and timestamp   8.203
test,1551435939171500800,52739,Received packet with sequence number 10 and timestamp   9.203
test,1551435940171431936,52739,Received packet with sequence number 11 and timestamp  10.203
test,1551435941171227904,52739,Received packet with sequence number 12 and timestamp  11.203
test,1551435942171138048,52739,Received packet with sequence number 13 and timestamp  12.203
test,1551435943171059968,52739,Received packet with sequence number 14 and timestamp  13.203
test,1551435944171078912,52739,Received packet with sequence number 15 and timestamp  14.203
test,1551435945170775040,52739,Received packet with sequence number 16 and timestamp  15.203
test,1551435946170681856,52739,Received packet with sequence number 17 and timestamp  16.203
test,1551435947170612992,52739,Received packet with sequence number 18 and timestamp  17.203
test,1551435955165849856,52739,Received packet with sequence number 26 and timestamp  25.203
test,1551435956165841152,52739,Received packet with sequence number 27 and timestamp  26.203
test,1551435957169563136,52739,Received packet with sequence number 28 and timestamp  27.203
test,1551435958169480192,52739,Received packet with sequence number 29 and timestamp  28.203
test,1551435959169405952,52739,Received packet with sequence number 30 and timestamp  29.203
test,1551435960169185024,52739,Received packet with sequence number 31 and timestamp  30.203
test,1551435961169167872,52739,Received packet with sequence number 32 and timestamp  31.203
test,1551435962169025792,52739,Received packet with sequence number 33 and timestamp  32.203
test,1551435963168817152,52739,Received packet with sequence number 34 and timestamp  33.203
test,1551435964168754944,52739,Received packet with sequence number 35 and timestamp  34.203
test,1551435965168660992,52739,Received packet with sequence number 36 and timestamp  35.203
test,1551435966168563968,52739,Received packet with sequence number 37 and timestamp  36.203
test,1551435967168480000,52739,Received packet with sequence number 38 and timestamp  37.203
test,1551435968168399104,52739,Received packet with sequence number 39 and timestamp  38.203
test,1551435969168231936,52739,Received packet with sequence number 40 and timestamp  39.203
test,1551435970168113920,52739,Received packet with sequence number 41 and timestamp  40.203
test,1551435971168052992,52739,Received packet with sequence number 42 and timestamp  41.203
test,1551435972167958016,52739,Received packet with sequence number 43 and timestamp  42.203
test,1551435973167748096,52739,Received packet with sequence number 44 and timestamp  43.203
test,1551435974167664896,52739,Received packet with sequence number 45 and timestamp  44.203
test,1551435975171469056,52739,Received packet with sequence number 46 and timestamp  45.203
test,1551435976171469824,52739,Received packet with sequence number 47 and timestamp  46.203
test,1551435977171307008,52739,Received packet with sequence number 48 and timestamp  47.203
test,1551435979171011840,52739,Received packet with sequence number 50 and timestamp  49.203
test,1551435980170939904,52739,Received packet with sequence number 51 and timestamp  50.203
test,1551435981170854144,52739,Received packet with sequence number 52 and timestamp  51.203
test,1551435982170646016,52739,Received packet with sequence number 53 and timestamp  52.203
test,1551435983170691840,52739,Received packet with sequence number 54 and timestamp  53.203
test,1551435984170504960,52739,Received packet with sequence number 55 and timestamp  54.203
test,1551435985170408960,52739,Received packet with sequence number 56 and timestamp  55.203
test,1551435986170310912,52739,Received packet with sequence number 57 and timestamp  56.203
test,1551435987170361088,52739,Received packet with sequence number 58 and timestamp  57.203
test,1551435988170036992,52739,Received packet with sequence number 59 and timestamp  58.203
test,1551435989169970944,52739,Received packet with sequence number 60 and timestamp  59.203
test,1551435990169889024,52739,Received packet with sequence number 61 and timestamp  60.203
test,1551435991169805056,52739,Received packet with sequence number 62 and timestamp  61.203
test,1551435998165117952,52739,Received packet with sequence number 69 and timestamp  68.203
test,1551435999165126144,52739,Received packet with sequence number 70 and timestamp  69.203
test,1551436000164961024,52739,Received packet with sequence number 71 and timestamp  70.203
test,1551436001168654848,52739,Received packet with sequence number 72 and timestamp  71.203
test,1551436002168545024,52739,Received packet with sequence number 73 and timestamp  72.203
test,1551436003168452096,52739,Received packet with sequence number 74 and timestamp  73.203
test,1551436004168368128,52739,Received packet with sequence number 75 and timestamp  74.203
test,1551436005168158976,52739,Received packet with sequence number 76 and timestamp  75.203
test,1551436006168081152,52739,Received packet with sequence number 77 and timestamp  76.203
test,1551436007167998976,52739,Received packet with sequence number 78 and timestamp  77.203
test,1551436008167920128,52739,Received packet with sequence number 79 and timestamp  78.203
test,1551436009167941120,52739,Received packet with sequence number 80 and timestamp  79.203
test,1551436010167643904,52739,Received packet with sequence number 81 and timestamp  80.203
test,1551436011171427840,52739,Received packet with sequence number 82 and timestamp  81.203
test,1551436012167480064,52739,Received packet with sequence number 83 and timestamp  82.203
test,1551436013167396096,52739,Received packet with sequence number 84 and timestamp  83.203
test,1551436014167330048,52739,Received packet with sequence number 85 and timestamp  84.203
test,1551436015167104000,52739,Received packet with sequence number 86 and timestamp  85.203
test,1551436016167035136,52739,Received packet with sequence number 87 and timestamp  86.203
test,1551436017166956032,52739,Received packet with sequence number 88 and timestamp  87.203
test,1551436018166874880,52739,Received packet with sequence number 89 and timestamp  88.203
test,1551436019170644992,52739,Received packet with sequence number 90 and timestamp  89.203
test,1551436020170678016,52739,Received packet with sequence number 91 and timestamp  90.203
test,1551436021170370048,52739,Received packet with sequence number 92 and timestamp  91.203
test,1551436022170303232,52739,Received packet with sequence number 93 and timestamp  92.203
test,1551436023170195968,52739,Received packet with sequence number 94 and timestamp  93.203
test,1551436024170128128,52739,Received packet with sequence number 95 and timestamp  94.203
test,1551436025170041088,52739,Received packet with sequence number 96 and timestamp  95.203
test,1551436026169976832,52739,Received packet with sequence number 97 and timestamp  96.203
test,1551436028169680128,52739,Received packet with sequence number 99 and timestamp  98.203
test,1551436029169734912,52739,Received packet with sequence number 100 and timestamp  99.203
test,1551436030169672960,52739,Received packet with sequence number 101 and timestamp 100.203
test,1551436031169543936,52739,Received packet with sequence number 102 and timestamp 101.203
test,1551436032169373952,52739,Received packet with sequence number 103 and timestamp 102.203
test,1551436033169275136,52739,Received packet with sequence number 104 and timestamp 103.203
test,1551436034169197056,52739,Received packet with sequence number 105 and timestamp 104.203
test,1551436035169122048,52739,Received packet with sequence number 106 and timestamp 105.203
test,1551436036169048064,52739,Received packet with sequence number 107 and timestamp 106.203
test,1551436044164259840,52739,Received packet with sequence number 115 and timestamp 114.203
test,1551436045164151040,52739,Received packet with sequence number 116 and timestamp 115.203
test,1551436046167848960,52739,Received packet with sequence number 117 and timestamp 116.203
test,1551436047167769856,52739,Received packet with sequence number 118 and timestamp 117.203
test,1551436048167682048,52739,Received packet with sequence number 119 and timestamp 118.203
test,1551436049167597056,52739,Received packet with sequence number 120 and timestamp 119.203
test,1551436050167518976,52739,Received packet with sequence number 121 and timestamp 120.203
test,1551436051167303936,52739,Received packet with sequence number 122 and timestamp 121.203
test,1551436052167232000,52739,Received packet with sequence number 123 and timestamp 122.203
test,1551436053167148032,52739,Received packet with sequence number 124 and timestamp 123.203
test,1551436054167076096,52739,Received packet with sequence number 125 and timestamp 124.203
test,1551436055167085824,52739,Received packet with sequence number 126 and timestamp 125.203
test,1551436056166913024,52739,Received packet with sequence number 127 and timestamp 126.203
test,1551436057166712064,52739,Received packet with sequence number 128 and timestamp 127.203
test,1551436058166619904,52739,Received packet with sequence number 129 and timestamp 128.203
test,1551436059166536192,52739,Received packet with sequence number 130 and timestamp 129.203
test,1551436060166457856,52739,Received packet with sequence number 131 and timestamp 130.203
test,1551436061166264064,52739,Received packet with sequence number 132 and timestamp 131.203
test,1551436062134931200,52739,Received packet with sequence number 133 and timestamp 132.203
test,1551436063134864128,52739,Received packet with sequence number 134 and timestamp 133.203
test,1551436064138636032,52739,Received packet with sequence number 135 and timestamp 134.203
test,1551436065138545920,52739,Received packet with sequence number 136 and timestamp 135.203
test,1551436066138438912,52739,Received packet with sequence number 137 and timestamp 136.203
test,1551436067138267136,52739,Received packet with sequence number 138 and timestamp 137.203
test,1551436068138183168,52739,Received packet with sequence number 139 and timestamp 138.203
test,1551436069138107136,52739,Received packet with sequence number 140 and timestamp 139.203
test,1551436071137960960,52739,Received packet with sequence number 142 and timestamp 141.203
test,1551436072137736192,52739,Received packet with sequence number 143 and timestamp 142.203
test,1551436073137669120,52739,Received packet with sequence number 144 and timestamp 143.203
test,1551436074137592064,52739,Received packet with sequence number 145 and timestamp 144.203
test,1551436075137516032,52739,Received packet with sequence number 146 and timestamp 145.203
test,1551436076137306880,52739,Received packet with sequence number 147 and timestamp 146.203
test,1551436077137317888,52739,Received packet with sequence number 148 and timestamp 147.203
test,1551436078137129984,52739,Received packet with sequence number 149 and timestamp 148.203
test,1551436079137039872,52739,Received packet with sequence number 150 and timestamp 149.203
test,1551436080136915968,52739,Received packet with sequence number 151 and timestamp 150.203
test,1551436087132195072,52739,Received packet with sequence number 158 and timestamp 157.203
test,1551436088132289792,52739,Received packet with sequence number 159 and timestamp 158.203
test,1551436089135863040,52739,Received packet with sequence number 160 and timestamp 159.203
test,1551436090135788800,52739,Received packet with sequence number 161 and timestamp 160.203
test,1551436091135708160,52739,Received packet with sequence number 162 and timestamp 161.203
test,1551436092135629056,52739,Received packet with sequence number 163 and timestamp 162.203
test,1551436093135542016,52739,Received packet with sequence number 164 and timestamp 163.203
test,1551436094135329024,52739,Received packet with sequence number 165 and timestamp 164.203
test,1551436095135258880,52739,Received packet with sequence number 166 and timestamp 165.203
test,1551436096135181824,52739,Received packet with sequence number 167 and timestamp 166.203
test,1551436097142908160,52739,Received packet with sequence number 168 and timestamp 167.203
test,1551436098138983936,52739,Received packet with sequence number 169 and timestamp 168.203
test,1551436099134926080,52739,Received packet with sequence number 170 and timestamp 169.203
test,1551436100134728960,52739,Received packet with sequence number 171 and timestamp 170.203
test,1551436101134639872,52739,Received packet with sequence number 172 and timestamp 171.203
test,1551436102134565120,52739,Received packet with sequence number 173 and timestamp 172.203
test,1551436103134358784,52739,Received packet with sequence number 174 and timestamp 173.203
test,1551436104134403840,52739,Received packet with sequence number 175 and timestamp 174.203
test,1551436105134195968,52739,Received packet with sequence number 176 and timestamp 175.203
test,1551436106134080000,52739,Received packet with sequence number 177 and timestamp 176.203
test,1551436107134036992,52739,Received packet with sequence number 178 and timestamp 177.203
test,1551436108137701120,52739,Received packet with sequence number 179 and timestamp 178.203
test,1551436109137707008,52739,Received packet with sequence number 180 and timestamp 179.203
test,1551436110137545216,52739,Received packet with sequence number 181 and timestamp 180.203
