name,time,nodeid,value
test,1551427533857000192,52739,Starting Contiki-3.x-3341-g80dbe5c
test,1551427533859802112,52739,With DriverLib v0.47020
test,1551427533860532992,52739,TI CC2650 SensorTag
test,1551427533861229824,52739,"IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes"
test,1551427533862128128,52739," Net: Rime"
test,1551427533862951936,52739," MAC: CSMA"
test,1551427533863508992,52739," RDC: ContikiMAC, Channel Check Interval: 4 ticks"
test,1551427533864173824,52739," RF: Channel 26"
test,1551427533865029120,52739," Node ID: 52739"
test,1551427533865775104,52739,Starting Contiki-3.x-3341-g80dbe5c
test,1551427533866561024,52739,With DriverLib v0.47020
test,1551427533867332096,52739,TI CC2650 SensorTag
test,1551427533868140032,52739,"IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes"
test,1551427533869008896,52739," Net: Rime"
test,1551427533869842944,52739," MAC: CSMA"
test,1551427533870664960,52739," RDC: ContikiMAC, Channel Check Interval: 4 ticks"
test,1551427533871373056,52739," RF: Channel 26"
test,1551427533872124928,52739," Node ID: 52739"
test,1551427533872965120,52739,node ID: 52739CC2650 communication - I'm sink
test,1551427533872965121,52739,Size: 32 and Rate: 1
test,1551427533873733888,52739,Received packet with sequence number 1 and timestamp   0.218
test,1551427533874427136,52739,Received packet with sequence number 2 and timestamp   1.195
test,1551427533875169024,52739,Received packet with sequence number 3 and timestamp   2.195
test,1551427533875853056,52739,Received packet with sequence number 4 and timestamp   3.195
test,1551427533876457984,52739,Received packet with sequence number 5 and timestamp   4.195
test,1551427534086265088,52739,Received packet with sequence number 6 and timestamp   5.195
test,1551427535086117120,52739,Received packet with sequence number 7 and timestamp   6.195
test,1551427536054827008,52739,Received packet with sequence number 8 and timestamp   7.195
test,1551427537054611968,52739,Received packet with sequence number 9 and timestamp   8.195
test,1551427538054781952,52739,Received packet with sequence number 10 and timestamp   9.195
test,1551427539058592000,52739,Received packet with sequence number 11 and timestamp  10.195
test,1551427540058429952,52739,Received packet with sequence number 12 and timestamp  11.195
test,1551427541058288128,52739,Received packet with sequence number 13 and timestamp  12.195
test,1551427542058193920,52739,Received packet with sequence number 14 and timestamp  13.195
test,1551427543058115072,52739,Received packet with sequence number 15 and timestamp  14.195
test,1551427544058067968,52739,Received packet with sequence number 16 and timestamp  15.195
test,1551427545057964032,52739,Received packet with sequence number 17 and timestamp  16.195
test,1551427546057817856,52739,Received packet with sequence number 18 and timestamp  17.195
test,1551427547057682944,52739,Received packet with sequence number 19 and timestamp  18.195
test,1551427548057607936,52739,Received packet with sequence number 20 and timestamp  19.195
test,1551427549057502976,52739,Received packet with sequence number 21 and timestamp  20.195
test,1551427550057436928,52739,Received packet with sequence number 22 and timestamp  21.195
test,1551427551057225984,52739,Received packet with sequence number 23 and timestamp  22.195
test,1551427552057140992,52739,Received packet with sequence number 24 and timestamp  23.195
test,1551427553057067008,52739,Received packet with sequence number 25 and timestamp  24.195
test,1551427554056907008,52739,Received packet with sequence number 26 and timestamp  25.195
test,1551427555056787968,52739,Received packet with sequence number 27 and timestamp  26.195
test,1551427556056737792,52739,Received packet with sequence number 28 and timestamp  27.195
test,1551427562083337984,52739,Received packet with sequence number 34 and timestamp  33.195
test,1551427563051992832,52739,Received packet with sequence number 35 and timestamp  34.195
test,1551427564051943168,52739,Received packet with sequence number 36 and timestamp  35.195
test,1551427565055705088,52739,Received packet with sequence number 37 and timestamp  36.195
test,1551427566055623168,52739,Received packet with sequence number 38 and timestamp  37.195
test,1551427567055535104,52739,Received packet with sequence number 39 and timestamp  38.195
test,1551427568055328000,52739,Received packet with sequence number 40 and timestamp  39.195
test,1551427569055254016,52739,Received packet with sequence number 41 and timestamp  40.195
test,1551427570055174144,52739,Received packet with sequence number 42 and timestamp  41.195
test,1551427571055094016,52739,Received packet with sequence number 43 and timestamp  42.195
test,1551427572054889984,52739,Received packet with sequence number 44 and timestamp  43.195
test,1551427573056675072,52739,Received packet with sequence number 45 and timestamp  44.195
test,1551427574054734080,52739,Received packet with sequence number 46 and timestamp  45.195
test,1551427575054646016,52739,Received packet with sequence number 47 and timestamp  46.195
test,1551427576054567936,52739,Received packet with sequence number 48 and timestamp  47.195
test,1551427577054342912,52739,Received packet with sequence number 49 and timestamp  48.195
test,1551427578054272000,52739,Received packet with sequence number 50 and timestamp  49.195
test,1551427579054187008,52739,Received packet with sequence number 51 and timestamp  50.195
test,1551427580054109184,52739,Received packet with sequence number 52 and timestamp  51.195
test,1551427581050036992,52739,Received packet with sequence number 53 and timestamp  52.195
test,1551427582150191104,52739,Received packet with sequence number 54 and timestamp  53.195
test,1551427583057606912,52739,Received packet with sequence number 55 and timestamp  54.195
test,1551427584057580032,52739,Received packet with sequence number 56 and timestamp  55.195
test,1551427585057451008,52739,Received packet with sequence number 57 and timestamp  56.195
test,1551427586057362944,52739,Received packet with sequence number 58 and timestamp  57.195
test,1551427587057225984,52739,Received packet with sequence number 59 and timestamp  58.195
test,1551427588060961024,52739,Received packet with sequence number 60 and timestamp  59.195
test,1551427589057005824,52739,Received packet with sequence number 61 and timestamp  60.195
test,1551427590056800000,52739,Received packet with sequence number 62 and timestamp  61.195
test,1551427591056723200,52739,Received packet with sequence number 63 and timestamp  62.195
test,1551427592056638976,52739,Received packet with sequence number 64 and timestamp  63.195
test,1551427593060417792,52739,Received packet with sequence number 65 and timestamp  64.195
test,1551427594056494848,52739,Received packet with sequence number 66 and timestamp  65.195
test,1551427595056384000,52739,Received packet with sequence number 67 and timestamp  66.195
test,1551427596056265984,52739,Received packet with sequence number 68 and timestamp  67.195
test,1551427597056092928,52739,Received packet with sequence number 69 and timestamp  68.195
test,1551427598055994880,52739,Received packet with sequence number 70 and timestamp  69.195
test,1551427606616933120,52739,Received packet with sequence number 78 and timestamp  77.195
test,1551427608054882048,52739,Received packet with sequence number 80 and timestamp  79.195
test,1551427609054737152,52739,Received packet with sequence number 81 and timestamp  80.195
test,1551427610054649088,52739,Received packet with sequence number 82 and timestamp  81.195
test,1551427611054519040,52739,Received packet with sequence number 83 and timestamp  82.195
test,1551427612054354944,52739,Received packet with sequence number 84 and timestamp  83.195
test,1551427613054285056,52739,Received packet with sequence number 85 and timestamp  84.195
test,1551427614054241024,52739,Received packet with sequence number 86 and timestamp  85.195
test,1551427615054130176,52739,Received packet with sequence number 87 and timestamp  86.195
